DATE,ACTUAL,DESV,CONS,
04/22/2020 (Apr 17),15.022,-0.03,15.15,
04/15/2020 (Apr 10),19.248,1.75,11.676,
04/08/2020 (Apr 3),15.177,1qa,9.271,
04/01/2020 (Mar 27),13.834,3.57,3.997,
03/25/2020 (Mar 20),1.623,-0.4,2.774,
03/18/2020 (Mar 13),1.954,-0.39,3.256,
03/11/2020 (Mar 6),7.664,2.2,2.266,
03/04/2020 (Feb 28),0.785,-0.73,2.644,
02/26/2020 (Feb 21),0.452,-0.68,2.005,
02/20/2020 (Feb 14),0.414,-0.91,2.494,
02/12/2020 (Feb 7),7.459,1.9,2.987,
02/05/2020 (Jan 31),3.355,0.08,3,
01/29/2020 (Jan 24),3.548,0.71,0.482,
01/23/2020 (Jan 17),-0.405,0.14,-1.009,
01/15/2020 (Jan 10),-2.549,-0.43,-0.474,
01/08/2020 (Jan 3),1.164,1.2,-3.572,
01/03/2020 (Dec 27),-11.463,-2.88,-3.288,
12/27/2019 (Dec 20),-5.474,-1.66,-1.724,
12/18/2019 (Dec 13),-1.085,0.09,-1.288,
12/11/2019 (Dec 6),0.822,1.15,-2.763,
12/04/2019 (Nov 29),-4.856,-1.21,-1.734,
11/27/2019 (Nov 22),1.572,0.53,-0.418,
11/20/2019 (Nov 15),1.379,-0.04,1.543,
11/14/2019 (Nov 8),2.219,0.14,1.649,
11/06/2019 (Nov 1),7.929,1.78,1.515,
10/30/2019 (Oct 25),5.702,1.55,0.494,
10/23/2019 (Oct 18),-1.699,-2.2,2.232,
10/17/2019 (Oct 11),9.281,2.24,2.878,
10/09/2019 (Oct 4),2.927,0.48,1.413,
10/02/2019 (Sep 27),3.1,0.36,1.567,
09/25/2019 (Sep 20),3.104,0.88,-0.249,
09/18/2019 (Sep 13),1.058,0.88,-2.496,
09/11/2019 (Sep 6),-6.912,-0.9,-2.6,
09/05/2019 (Aug 30),-4.771,-0.43,-2.488,
08/28/2019 (Aug 23),-10.027,-1.58,-2.112,
08/21/2019 (Aug 16),-2.732,-0.17,-1.889,
08/14/2019 (Aug 9),1.58,0.93,-2.761,
08/07/2019 (Aug 2),2.385,1.46,-2.845,
07/31/2019 (Jul 26),-8.496,-1.33,-2.588,
07/24/2019 (Jul 19),-10.835,-1.57,-4.011,
07/17/2019 (Jul 12),-3.116,-0.09,-2.694,
07/10/2019 (Jul 5),-9.499,-1.08,-3.081,
07/03/2019 (Jun 28),-1.085,0.32,-2.964,
06/26/2019 (Jun 19),-12.788,-3.01,-2.54,
06/19/2019 (Jun 12),-3.106,-0.8,-1.077,
06/12/2019 (Jun 5),2.206,0.57,-0.481,
06/05/2019 (May 31),6.771,1.61,-0.849,
05/30/2019 (May 24),-0.282,0.13,-0.857,
05/22/2019 (May 17),4.74,0.81,-0.599,
05/15/2019 (May 10),5.431,0.98,-0.8,
05/08/2019 (May 3),-3.963,-0.85,1.215,
05/01/2019 (Apr 26),9.934,1.39,2.093,
04/24/2019 (Apr 19),5.479,0.59,1.255,
04/17/2019 (Apr 12),-1.396,-1.29,7.329,
04/10/2019 (Apr 5),7.029,0.68,2.294,
04/03/2019 (Mar 29),7.238,1.11,-0.425,
03/27/2019 (Mar 22),2.8,0.38,0.309,
03/20/2019 (Mar 15),-9.589,-1.62,0.309,
03/13/2019 (Mar 8),-3.862,-1.14,2.655,
03/06/2019 (Feb 25),7.069,1.28,1.203,
02/27/2019 (Feb 18),-8.647,-3.23,2.842,
02/21/2019 (Feb 15),3.672,0.16,3.08,
02/13/2019 (Feb 8),3.633,0.26,2.668,
02/06/2019 (Feb 1),1.263,-0.25,2.179,
01/30/2019 (Jan 25),0.919,-0.73,3.155,
01/24/2019 (Jan 18),7.97,5.01,-0.042,
01/16/2019 (Jan 11),-2.683,-1.89,-1.323,
01/09/2019 (Jan 4),-1.68,0.32,-2.8,
01/04/2019 (Dec 28),0.007,0.88,-3.086,
12/28/2018 (Dec 21),-0.046,0.83,-2.869,
12/19/2018 (Dec 14),-0.497,0.44,-2.437,
12/12/2018 (Dec 7),-1.208,0.4,-2.99,
12/06/2018 (Nov 30),-7.323,-2.61,-0.942,
11/28/2018 (Nov 23),3.577,1.15,0.769,
11/21/2018 (Nov 16),4.851,0.68,2.94,
11/15/2018 (Nov 9),10.27,3.09,3.18,
11/07/2018 (Nov 2),5.78,1.3,2.43,
10/31/2018 (Oct 26),3.22,-0.27,3.67,
10/24/2018 (Oct 19),6.35,1.22,3.69,
10/17/2018 (Oct 12),6.49,1.91,-0.281,
10/11/2018 (Oct 5),5.987,0.87,2.62,
10/03/2018 (Sep 28),7.975,2.21,1.985,
09/26/2018 (Sep 21),1.852,1.65,-1.279,
09/19/2018 (Sep 14),-2.057,0.13,-2.741,
09/12/2018 (Sep 7),-5.296,-0.91,-0.805,
09/06/2018 (Aug 31),-4.302,-0.59,-1.294,
08/29/2018 (Aug 24),-2.566,-0.34,-0.686,
08/22/2018 (Aug 17),-5.836,-0.86,-1.497,
08/15/2018 (Aug 10),6.805,1.44,-2.499,
08/08/2018 (Jul 30),-1.351,0.3,-3.333,
08/01/2018 (Jul 27),3.803,0.95,-2.794,
07/25/2018 (Jul 20),-6.147,-0.55,-2.331,
07/18/2018 (Jul 13),5.836,2,-3.495,
07/11/2018 (Jul 2),-12.633,-1.77,-4.489,
07/05/2018 (Jun 29),1.245,1.3,-3.538,
06/27/2018 (Jun 22),-9.891,-1.72,-2.572,
06/20/2018 (Jun 15),-5.914,-1.09,-1.898,
06/13/2018 (Jun 8),-4.143,-0.38,-2.744,
06/06/2018 (Jun 1),2.072,0.98,-1.824,
05/31/2018 (May 25),-3.62,-0.7,-1.2,
05/23/2018 (May 18),5.778,2.67,-1.567,
05/16/2018 (May 11),-1.404,-0.25,-0.763,
05/09/2018 (May 4),-2.197,-0.4,-0.719,
05/02/2018 (Apr 27),6.218,1.7,0.739,
04/25/2018 (Apr 20),2.17,1.19,-2.043,
04/18/2018 (Apr 13),-1.071,0.09,-1.429,
04/11/2018 (Apr 6),3.306,1.03,-0.189,
04/04/2018 (Mar 30),-4.617,-1.72,0.246,
03/28/2018 (Mar 23),1.643,0.67,-0.287,
03/21/2018 (Mar 16),-2.622,-2.5,2.556,
03/14/2018 (Mar 9),5.022,2.33,2.023,
03/07/2018 (Mar 2),2.408,-0.09,2.723,
02/28/2018 (Feb 23),2.483,0.12,2.077,
02/22/2018 (Feb 16),-1.616,-1.01,1.795,
02/14/2018 (Feb 9),1.841,-0.29,2.825,
02/07/2018 (Feb 2),1.895,-0.37,3.189,
01/31/2018 (Jan 26),6.776,5.07,0.126,
01/24/2018 (Jan 19),-1.071,0.53,-1.6,
01/18/2018 (Jan 12),-6.861,-4.25,-3.588,
01/10/2018 (Jan 5),-4.948,-1.42,-3.89,
01/04/2018 (Dec 29),-7.419,-2.96,-5.182,
12/28/2017 (Dec 22),-4.609,-0.61,-3.97,
12/20/2017 (Dec 15),-6.495,-1.23,-3.769,
12/13/2017 (Dec 8),-5.117,-0.47,-3.78,
12/06/2017 (Dec 1),-5.61,-0.92,-3.404,
11/29/2017 (Nov 24),-3.429,-0.56,-2.301,
11/22/2017 (Nov 17),-1.855,0.13,-2.167,
11/15/2017 (Nov 10),1.854,1.61,-2.2,
